season,source_team_id,game_key,date_label,opponent,raw_row,game_id,game_date,away_team,home_team,away_score,home_score,box_score_url
2026,,2026_sportstrack_11872,2026-04-27,The Big Units at Bash Brothers,1 | Monday | 04/27/26 | 6:00 PM | TBD | Bash Brothers | 16 | The Big Units | 15 |  |  | 11872,11872,2026-04-27,The Big Units,Bash Brothers,15,16,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11872
2026,,2026_sportstrack_11927,2026-08-02,Wild Things at The Big Papi's,88 | Sunday | 08/02/26 | 6:30 PM | TBD | The Big Papi's |  | Wild Things |  |  |  | 11927,11927,2026-08-02,Wild Things,The Big Papi's,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11927
2026,,2026_sportstrack_11960,2026-08-04,Bash Brothers at 7th Floor Crew,89 | Tuesday | 08/04/26 | 6:30 PM | TBD | 7th Floor Crew |  | Bash Brothers |  |  |  | 11960,11960,2026-08-04,Bash Brothers,7th Floor Crew,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11960
2026,,2026_sportstrack_11961,2026-08-06,Nails at The Big Units,90 | Thursday | 08/06/26 | 6:30 PM | TBD | The Big Units |  | Nails |  |  |  | 11961,11961,2026-08-06,Nails,The Big Units,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11961
2026,,2026_sportstrack_11962,2026-08-07,Bash Brothers at The Big Papi's,91 | Friday | 08/07/26 | 6:30 PM | TBD | The Big Papi's |  | Bash Brothers |  |  |  | 11962,11962,2026-08-07,Bash Brothers,The Big Papi's,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11962
2026,,2026_sportstrack_11963,2026-08-08,Wild Things at The Sultans Of Swat,92 | Saturday | 08/08/26 | 9:00 AM | TBD | The Sultans Of Swat |  | Wild Things |  |  |  | 11963,11963,2026-08-08,Wild Things,The Sultans Of Swat,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11963
2026,,2026_sportstrack_11964,2026-08-08,Muscle Hamsters at Lunch Pail Guys,93 | Saturday | 08/08/26 | 10:30 AM | TBD | Lunch Pail Guys |  | Muscle Hamsters |  |  |  | 11964,11964,2026-08-08,Muscle Hamsters,Lunch Pail Guys,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11964
2026,,2026_sportstrack_11965,2026-08-08,The Ryan Express at 7th Floor Crew,94 | Saturday | 08/08/26 | 12:00 PM | TBD | 7th Floor Crew |  | The Ryan Express |  |  |  | 11965,11965,2026-08-08,The Ryan Express,7th Floor Crew,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11965
2026,,2026_sportstrack_11966,2026-08-09,Honey Badgers at Black Mambas,95 | Sunday | 08/09/26 | 4:30 PM | TBD | Black Mambas |  | Honey Badgers |  |  |  | 11966,11966,2026-08-09,Honey Badgers,Black Mambas,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11966
2026,,2026_sportstrack_11967,2026-08-09,The Big Units at Wild Things,96 | Sunday | 08/09/26 | 6:00 PM | TBD | Wild Things |  | The Big Units |  |  |  | 11967,11967,2026-08-09,The Big Units,Wild Things,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11967
2026,,2026_sportstrack_11968,2026-08-10,Lunch Pail Guys at The Sultans Of Swat,97 | Monday | 08/10/26 | 6:00 PM | TBD | The Sultans Of Swat |  | Lunch Pail Guys |  |  |  | 11968,11968,2026-08-10,Lunch Pail Guys,The Sultans Of Swat,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11968
2026,,2026_sportstrack_11969,2026-08-13,Lunch Pail Guys at The Big Papi's,98 | Thursday | 08/13/26 | 6:00 PM | TBD | The Big Papi's |  | Lunch Pail Guys |  |  |  | 11969,11969,2026-08-13,Lunch Pail Guys,The Big Papi's,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11969
2026,,2026_sportstrack_11970,2026-08-14,The Sultans Of Swat at Honey Badgers,99 | Friday | 08/14/26 | 6:00 PM | TBD | Honey Badgers |  | The Sultans Of Swat |  |  |  | 11970,11970,2026-08-14,The Sultans Of Swat,Honey Badgers,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11970
2026,,2026_sportstrack_11971,2026-08-15,Nails at Bash Brothers,100 | Saturday | 08/15/26 | 9:00 AM | TBD | Bash Brothers |  | Nails |  |  |  | 11971,11971,2026-08-15,Nails,Bash Brothers,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11971
2026,,2026_sportstrack_11972,2026-08-15,7th Floor Crew at Black Mambas,101 | Saturday | 08/15/26 | 10:30 AM | TBD | Black Mambas |  | 7th Floor Crew |  |  |  | 11972,11972,2026-08-15,7th Floor Crew,Black Mambas,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11972
2026,,2026_sportstrack_11973,2026-08-15,The Ryan Express at Muscle Hamsters,102 | Saturday | 08/15/26 | 12:00 PM | TBD | Muscle Hamsters |  | The Ryan Express |  |  |  | 11973,11973,2026-08-15,The Ryan Express,Muscle Hamsters,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11973
2026,,2026_sportstrack_11975,2026-08-22,Seed 7 at Seed,P1 | Saturday | 08/22/26 | 10:30 AM | TBD | Seed |  | Seed 7 |  |  |  | 11975,11975,2026-08-22,Seed 7,Seed,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11975
2026,,2026_sportstrack_11976,2026-08-22,Seed 8 at Seed,P2 | Saturday | 08/22/26 | 12:00 PM | TBD | Seed |  | Seed 8 |  |  |  | 11976,11976,2026-08-22,Seed 8,Seed,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11976
2026,,2026_sportstrack_11977,2026-08-23,Seed 4 at Seed 5,P3 | Sunday | 08/23/26 | 4:30 PM | TBD | Seed 5 |  | Seed 4 |  |  |  | 11977,11977,2026-08-23,Seed 4,Seed 5,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11977
2026,,2026_sportstrack_11978,2026-08-23,Seed 2 at Seed,P4 | Sunday | 08/23/26 | 6:00 PM | TBD | Seed |  | Seed 2 |  |  |  | 11978,11978,2026-08-23,Seed 2,Seed,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11978
2026,,2026_sportstrack_11979,2026-08-27,Seed 1 at Seed,P5 | Thursday | 08/27/26 | 6:00 PM | TBD | Seed |  | Seed 1 |  |  |  | 11979,11979,2026-08-27,Seed 1,Seed,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11979
2026,,2026_sportstrack_11980,2026-08-28,Seed 3 at Seed 6,P6 | Friday | 08/28/26 | 6:00 PM | TBD | Seed 6 |  | Seed 3 |  |  |  | 11980,11980,2026-08-28,Seed 3,Seed 6,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11980
2026,,2026_sportstrack_11981,2026-08-29,Seed at Seed,P7 | Saturday | 08/29/26 | 9:00 AM | TBD | Seed |  | Seed |  |  |  | 11981,11981,2026-08-29,Seed,Seed,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11981
2026,,2026_sportstrack_11982,2026-08-29,Seed at Seed,P8 | Saturday | 08/29/26 | 10:30 AM | TBD | Seed |  | Seed |  |  |  | 11982,11982,2026-08-29,Seed,Seed,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11982
2026,,2026_sportstrack_11983,2026-08-30,Seed at Seed,P9 | Sunday | 08/30/26 | 4:30 PM | TBD | Seed |  | Seed |  |  |  | 11983,11983,2026-08-30,Seed,Seed,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11983
